"","Response","PercentChange_Org","PercentChange_Conv"
"1","MB_MeanScMax",-4.34738640212243,7.39294381329585
"2","MB_Thresh70",-38.010635462661,72.7312957487397
"3","BirdRichness",-35.4916484056783,-5.10773351667879
"4","ButtRichness",162.656772445221,33.2338360030175
"5","EwormRichness",1.2781895649137,-51.1608171938131
"6","MicrobeRichness",-38.000099526759,-36.9880595488529
"7","PlantRichness",-7.18352405002383,38.1348885950655
"8","BeeRichness",-13.3764211948697,-9.17162865200863
"9","SyrphidRichness",-67.7760147497584,-39.0464931588684
"10","SpiderRichness",-10.9127507819928,17.5601928987686
"11","CarabRichness",-52.3299973962498,45.7161249530243
"12","CollemboRichness",40.4788602997651,54.2843282519246
"13","SpiderFoliageRichness",40.9218699946804,-37.6624771714375
"14","ColeopteraFoliageRichness",-8.09571550616303,132.183517596171
"15","HemipteraFoliageRichness",12.3939770640875,12.4655761987185
"16","HeteropteraFoliageRichness",22.7261995689563,90.174383695294
"17","MA_MeanScMax",-1.27891777285914,-1.46587446333141
"18","MA_Thresh70",-40.0946371518771,-40.0036702306502
"19","BirdAbundance",-60.7261571745781,-27.0634304684812
"20","ButtAbundance",222.237951217588,216.785427342758
"21","EwormAbundance",173.327683755742,74.5176135594348
"22","MicrobeAbundance",-22.7628245623358,-18.2701740223465
"23","BeeAbundance",-29.4976764131055,45.338757621018
"24","SyrphidAbundance",-81.0813430474405,-76.796919752115
"25","SpiderAbundance",-52.7436300441926,-9.27747843316429
"26","CarabAbundance",58.7988732015802,16.2535409305622
"27","CollemboAbundance",-4.02849648880261,-23.8443923145403
"28","SpiderFoliageAbundance",17.9278172394666,-26.1722078935962
"29","ColeopteraFoliageAbundance",-13.6299274155897,-7.13341314235001
"30","HemipteraFoliageAbundance",9.86263773186988,78.5402916101468
"31","HeteropteraFoliageAbundance",67.3821993019382,59.0424283596667
"32","PlantCover",35.7473960722837,43.9676185424958
"33","EMF_Production",-0.260396358562032,21.044207650324
"34","EMF_Soil",-15.0482681510714,-9.34939283196763
"35","EMF_Regulation",9.73936066559697,-19.6438066296761
"36","EMF_MeanScMax",-2.34561751361591,-2.34054555502399
"37","EMF_Thresh70",-31.5596042200462,-36.8420264091727
"38","YieldRealised_hlperha",11.601049894301,30.9946112085439
"39","Ntester",-7.47226541599896,14.1082471232749
"40","SoilC",0.374896981080308,-39.3590210138007
"41","SoilN",-14.9961538894647,-5.36571919440858
"42","DecompokRate",-3.49117024010059,6.17326511197238
"43","DecompoSfactor",-0.625368104017954,3.23092129272724
"44","SoilPhosphatase",65.1404933841438,79.384157184426
"45","SoilGlucosidase",-26.2296558633711,7.21778846966445
"46","SoilUrease",-98.5265724789289,-46.544109907457
"47","PredRateEggs",-20.0615496279722,-30.2250635689162
"48","PredRatePupae",25.5829124808274,-28.231833437396
"49","PredRatePlasticine",172.624262184362,-116.405627101985
"50","PathogenDamage",-4.35218332706986,-49.3199517513434
"51","PestDamage",-100.261577794595,-99.7382797474973
